op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,8.68893,8.68893
NONE,HISTORY,yes,1,5.52011,5.52011
1,UPDATE,yes,1,9.55534,9.55534
2,DELETE,yes,1,15.17272,15.17272
3,RESTRICT,yes,1,22.39394,22.39394
NONE,AUDIT,yes,1,8.31723,8.31723
NONE,HISTORY,yes,1,113.70349,113.70349
4,UPDATE,yes,1,119.73190,119.73190
5,DELETE,yes,1,121.34790,121.34790
6,RESTRICT,yes,1,127.21968,127.21968
NONE,AUDIT,yes,1,6.50954,6.50954
NONE,HISTORY,yes,1,4.51756,4.51756
7,UPDATE,yes,1,6.92821,6.92821
8,DELETE,yes,1,10.52284,10.52284
9,RESTRICT,yes,1,13.82542,13.82542
NONE,AUDIT,yes,1,2.01344,2.01344
NONE,HISTORY,yes,1,3.72052,3.72052
10,UPDATE,yes,1,6.31928,6.31928
11,DELETE,yes,1,8.92043,8.92043
12,RESTRICT,yes,1,10.59866,10.59866
NONE,AUDIT,yes,1,18.61262,18.61262
NONE,HISTORY,yes,1,21.74330,21.74330
13,UPDATE,yes,1,24.00136,24.00136
14,DELETE,yes,1,30.84087,30.84087
15,RESTRICT,yes,1,33.73289,33.73289
NONE,AUDIT,yes,1,15.85722,15.85722
NONE,HISTORY,yes,1,22.28808,22.28808
16,UPDATE,yes,1,25.98667,25.98667
17,DELETE,yes,1,30.94935,30.94935
18,RESTRICT,yes,1,33.05030,33.05030
NONE,AUDIT,yes,1,22.03345,22.03345
NONE,HISTORY,yes,1,78.25279,78.25279
19,UPDATE,yes,1,98.15073,98.15073
20,DELETE,yes,1,116.12797,116.12797
21,RESTRICT,yes,1,127.60305,127.60305
NONE,AUDIT,yes,1,5.30052,5.30052
NONE,HISTORY,yes,1,5.35679,5.35679
22,UPDATE,yes,1,15.04397,15.04397
23,DELETE,yes,1,21.27290,21.27290
24,RESTRICT,yes,1,23.54646,23.54646
NONE,AUDIT,yes,1,12.56037,12.56037
NONE,HISTORY,yes,1,6.71148,6.71148
25,UPDATE,yes,1,9.35769,9.35769
26,DELETE,yes,1,28.20253,28.20253
27,RESTRICT,yes,1,32.24421,32.24421
NONE,AUDIT,yes,1,13.38577,13.38577
NONE,HISTORY,yes,1,5.74660,5.74660
28,UPDATE,yes,1,8.23927,8.23927
29,DELETE,yes,1,22.12763,22.12763
30,RESTRICT,yes,1,29.20270,29.20270
NONE,AUDIT,yes,1,25.01726,25.01726
NONE,HISTORY,yes,1,28.75876,28.75876
31,UPDATE,yes,1,37.44173,37.44173
32,DELETE,yes,1,46.17023,46.17023
33,RESTRICT,yes,1,50.88210,50.88210
NONE,AUDIT,yes,1,51.89800,51.89800
NONE,HISTORY,yes,1,63.36594,63.36594
34,UPDATE,yes,1,79.31948,79.31948
35,DELETE,yes,1,91.10570,91.10570
36,RESTRICT,yes,1,103.36018,103.36018
NONE,AUDIT,yes,1,3.60703,3.60703
NONE,HISTORY,yes,1,8.07834,8.07834
37,UPDATE,yes,1,10.27060,10.27060
38,DELETE,yes,1,11.94239,11.94239
39,RESTRICT,yes,1,13.13281,13.13281
NONE,AUDIT,yes,1,4.13752,4.13752
NONE,HISTORY,yes,1,3.31521,3.31521
40,UPDATE,yes,1,6.70433,6.70433
41,DELETE,yes,1,17.80915,17.80915
42,RESTRICT,yes,1,18.41760,18.41760
NONE,AUDIT,yes,1,4.27270,4.27270
NONE,HISTORY,yes,1,4.18663,4.18663
43,UPDATE,yes,1,6.59370,6.59370
44,DELETE,yes,1,11.68799,11.68799
45,RESTRICT,yes,1,15.09643,15.09643
NONE,AUDIT,yes,1,18.71896,18.71896
NONE,HISTORY,yes,1,7.79676,7.79676
46,UPDATE,yes,1,12.81261,12.81261
47,DELETE,yes,1,35.83860,35.83860
48,RESTRICT,yes,1,51.17321,51.17321
NONE,AUDIT,yes,1,3.31783,3.31783
NONE,HISTORY,yes,1,2.53463,2.53463
49,UPDATE,yes,1,8.78048,8.78048
50,DELETE,yes,1,16.52789,16.52789
51,RESTRICT,yes,1,18.86201,18.86201
