Metric Category,Metric Name,Value
Broker,CPU Min (%),15.96737
Broker,CPU Max (%),45.26946
Broker,CPU Avg (%),24.75678
Broker,CPU Variance,50.23597
Broker,Memory Min (MB),96.76272
Broker,Memory Max (MB),98.11079
Broker,Memory Avg (MB),97.56999
Broker,Memory Variance,0.10659
Messaging,Latency Min (ms),-8.41022
Messaging,Latency Max (ms),90.91139
Messaging,Latency Avg (ms),4.43546
Messaging,Latency Variance,34.23609
Messaging,Throughput (msgs/sec),688.75319
Messaging,Avg Header Size (bytes),33.09566
Messaging,Data Messages,124015
Messaging,Non-Data Messages,98
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,123970
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,124120
Purpose Correctness,Total Received,123970
Purpose Correctness,Total Rejected,151
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0009
OP Correctness,Total Operational Requests,85
OP Correctness,Total Expected Responses,68
OP Correctness,Total Actual Responses,68
OP Correctness,Total Relevant Requests Recieved,85
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
OP Correlation,Total Tracked Operations,85
OP Correlation,Total Completed Operations,85
OP Correlation,Overall Completion Rate,1.0000
OP Correlation,AUDIT Operations Issued,17
OP Correlation,AUDIT Completion Rate,1.0000
OP Correlation,AUDIT Median Latency (ms),9.86123
OP Correlation,AUDIT p90 Latency (ms),46.67511
OP Correlation,AUDIT p99 Latency (ms),74.12039
OP Correlation,DELETE Operations Issued,17
OP Correlation,DELETE Completion Rate,1.0000
OP Correlation,DELETE Median Latency (ms),18.76307
OP Correlation,DELETE p90 Latency (ms),73.12374
OP Correlation,DELETE p99 Latency (ms),101.36842
OP Correlation,HISTORY Operations Issued,17
OP Correlation,HISTORY Completion Rate,1.0000
OP Correlation,HISTORY Median Latency (ms),6.89340
OP Correlation,HISTORY p90 Latency (ms),39.97297
OP Correlation,HISTORY p99 Latency (ms),43.26000
OP Correlation,RESTRICT Operations Issued,17
OP Correlation,RESTRICT Completion Rate,1.0000
OP Correlation,RESTRICT Median Latency (ms),22.68696
OP Correlation,RESTRICT p90 Latency (ms),86.46865
OP Correlation,RESTRICT p99 Latency (ms),149.48128
OP Correlation,UPDATE Operations Issued,17
OP Correlation,UPDATE Completion Rate,1.0000
OP Correlation,UPDATE Median Latency (ms),10.56361
OP Correlation,UPDATE p90 Latency (ms),42.20514
OP Correlation,UPDATE p99 Latency (ms),52.45922
O1 Informed,REGISTER-INFO Requests Issued,13
O1 Informed,Publishers Informed,40
O1 Informed,Publishers With Consumers,40
O1 Informed,Informed Completion Rate,1.0000
