Metric Category,Metric Name,Value
Broker,CPU Min (%),16.10979
Broker,CPU Max (%),45.28302
Broker,CPU Avg (%),24.66220
Broker,CPU Variance,69.88478
Broker,Memory Min (MB),96.71832
Broker,Memory Max (MB),98.25737
Broker,Memory Avg (MB),97.69802
Broker,Memory Variance,0.13452
Messaging,Latency Min (ms),-14.02116
Messaging,Latency Max (ms),193.23158
Messaging,Latency Avg (ms),5.23597
Messaging,Latency Variance,67.66668
Messaging,Throughput (msgs/sec),715.51848
Messaging,Avg Header Size (bytes),33.98811
Messaging,Data Messages,128668
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,128668
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,128668
Purpose Correctness,Total Received,128668
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correlation,Total Tracked Operations,0
OP Correlation,Total Completed Operations,0
OP Correlation,Overall Completion Rate,0.0000
O1 Informed,REGISTER-INFO Requests Issued,0
O1 Informed,Publishers Informed,0
O1 Informed,Publishers With Consumers,40
O1 Informed,Informed Completion Rate,0.0000
