op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,1.97697,1.97697
NONE,HISTORY,yes,1,4.86755,4.86755
1,UPDATE,yes,1,7.27057,7.27057
2,DELETE,yes,1,10.67710,10.67710
3,RESTRICT,yes,1,12.08162,12.08162
NONE,AUDIT,yes,1,10.06484,119.09938
NONE,HISTORY,yes,25,5.36799,44.32082
4,UPDATE,yes,25,18.94593,81.18439
5,DELETE,yes,25,43.79010,104.61903
6,RESTRICT,yes,25,54.31604,107.68342
NONE,AUDIT,yes,1,112.40172,139.94026
NONE,HISTORY,yes,27,45.16912,97.51940
7,UPDATE,yes,27,90.28149,108.13403
8,DELETE,yes,27,208.09507,256.92987
9,RESTRICT,yes,27,220.67213,297.26720
NONE,AUDIT,yes,1,13.89217,59.15785
NONE,HISTORY,yes,28,4.09269,56.05721
10,UPDATE,yes,28,17.09747,64.83674
11,DELETE,yes,28,78.29881,139.66966
12,RESTRICT,yes,28,95.92152,156.74925
NONE,AUDIT,yes,1,58.38013,78.19700
NONE,HISTORY,yes,29,19.49549,46.00191
13,UPDATE,yes,29,44.91043,52.52004
14,DELETE,yes,29,99.42293,161.08704
15,RESTRICT,yes,29,127.05112,172.62316
NONE,AUDIT,yes,1,63.96747,78.33242
NONE,HISTORY,yes,29,14.89425,53.47061
16,UPDATE,yes,29,43.89477,57.43289
17,DELETE,yes,29,66.66923,147.03536
18,RESTRICT,yes,29,126.48392,219.03682
NONE,AUDIT,yes,1,66.99371,82.40962
NONE,HISTORY,yes,29,19.09781,58.81405
19,UPDATE,yes,29,54.93832,62.98447
20,DELETE,yes,29,113.89565,166.76974
21,RESTRICT,yes,29,146.27051,191.21742
NONE,AUDIT,yes,1,118.00003,139.75978
NONE,HISTORY,yes,30,67.81602,103.44815
22,UPDATE,yes,30,99.67709,114.41231
23,DELETE,yes,30,133.94809,226.05824
24,RESTRICT,yes,30,200.88387,283.40864
NONE,AUDIT,yes,1,20.84804,63.36141
NONE,HISTORY,yes,30,4.11272,58.75635
25,UPDATE,yes,30,11.73258,68.01295
26,DELETE,yes,30,76.85137,158.27250
27,RESTRICT,yes,30,96.98725,169.33227
NONE,AUDIT,yes,1,80.02090,99.18046
NONE,HISTORY,yes,31,24.12200,45.61996
28,UPDATE,yes,31,45.09711,89.89501
29,DELETE,yes,31,139.31489,186.02085
30,RESTRICT,yes,31,177.27613,198.99058
NONE,AUDIT,yes,1,59.46708,151.24035
NONE,HISTORY,yes,32,12.84337,110.45027
31,UPDATE,yes,32,73.75550,132.45177
32,DELETE,yes,32,198.54307,250.32401
33,RESTRICT,yes,32,222.14961,261.03497
NONE,AUDIT,yes,1,162.20021,196.18344
NONE,HISTORY,yes,32,25.66385,61.76543
34,UPDATE,yes,32,67.62505,166.23998
35,DELETE,yes,32,135.42986,315.97233
36,RESTRICT,yes,32,257.08652,340.10458
NONE,AUDIT,yes,1,36.60941,180.44686
NONE,HISTORY,yes,33,44.84200,101.61376
37,UPDATE,yes,33,60.04214,128.71766
38,DELETE,yes,33,61.98525,137.15291
39,RESTRICT,yes,33,66.21718,146.64507
NONE,AUDIT,yes,1,2.46048,74.93544
NONE,HISTORY,yes,34,25.27022,63.23099
40,UPDATE,yes,34,56.44393,90.25335
41,DELETE,yes,34,96.98367,180.99332
42,RESTRICT,yes,34,168.48540,203.09138
NONE,AUDIT,yes,1,7.49063,70.12653
NONE,HISTORY,yes,35,19.69695,60.55570
43,UPDATE,yes,35,41.60190,90.07025
44,DELETE,yes,35,99.26963,183.62594
45,RESTRICT,yes,35,159.90615,195.02807
NONE,AUDIT,yes,1,130.93448,158.80179
NONE,HISTORY,yes,36,20.35069,67.68775
46,UPDATE,yes,36,65.98854,169.94667
47,DELETE,yes,36,125.46945,261.04808
48,RESTRICT,yes,36,210.41322,270.62249
NONE,AUDIT,yes,1,207.77965,249.03083
NONE,HISTORY,yes,37,115.48615,178.70712
49,UPDATE,yes,37,176.51772,192.95335
50,DELETE,yes,37,291.85748,338.82904
51,RESTRICT,yes,37,333.69255,354.62189
