op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,11.93237,11.93237
NONE,HISTORY,yes,1,8.42619,8.42619
1,UPDATE,yes,1,10.32209,10.32209
2,DELETE,yes,1,16.90149,16.90149
3,RESTRICT,yes,1,19.86933,19.86933
NONE,AUDIT,yes,1,128.59845,130.32532
NONE,HISTORY,yes,2,55.07541,63.85350
4,UPDATE,yes,2,71.87963,81.31766
5,DELETE,yes,2,127.30837,148.34380
6,RESTRICT,yes,2,163.14459,176.58257
NONE,AUDIT,yes,1,48.27523,57.49154
NONE,HISTORY,yes,3,24.22953,24.72711
7,UPDATE,yes,3,32.93562,45.76755
8,DELETE,yes,3,70.80412,75.89602
9,RESTRICT,yes,3,77.39353,81.76899
NONE,AUDIT,yes,1,8.76927,10.68163
NONE,HISTORY,yes,4,3.81422,11.94954
10,UPDATE,yes,4,4.53949,17.26031
11,DELETE,yes,4,21.04616,31.13294
12,RESTRICT,yes,4,24.41502,33.90813
NONE,AUDIT,yes,1,70.53757,90.75689
NONE,HISTORY,yes,5,44.08860,57.42478
13,UPDATE,yes,5,63.09390,66.94913
14,DELETE,yes,5,125.81372,166.47816
15,RESTRICT,yes,5,153.52488,185.02355
NONE,AUDIT,yes,1,58.31671,62.26611
NONE,HISTORY,yes,6,38.45477,44.07907
16,UPDATE,yes,6,49.39461,73.19283
17,DELETE,yes,6,58.91418,75.32668
18,RESTRICT,yes,6,74.00155,79.85473
NONE,AUDIT,yes,1,3.57103,27.11868
NONE,HISTORY,yes,7,3.04031,23.85449
19,UPDATE,yes,7,5.81956,32.56917
20,DELETE,yes,7,16.75510,44.24214
21,RESTRICT,yes,7,25.91538,47.69301
NONE,AUDIT,yes,1,11.35802,20.10512
NONE,HISTORY,yes,8,3.57342,17.24076
22,UPDATE,yes,8,5.87845,21.66772
23,DELETE,yes,8,25.96426,42.92989
24,RESTRICT,yes,8,36.49783,45.60661
NONE,AUDIT,yes,1,7.50327,16.30998
NONE,HISTORY,yes,9,1.68180,19.20915
25,UPDATE,yes,9,19.03796,21.98267
26,DELETE,yes,9,32.59325,41.05163
27,RESTRICT,yes,9,40.42292,43.91265
NONE,AUDIT,yes,1,40.04884,55.01747
NONE,HISTORY,yes,10,44.25573,56.73814
28,UPDATE,yes,10,56.50043,60.81653
29,DELETE,yes,10,75.69408,88.54461
30,RESTRICT,yes,10,86.80987,92.47899
NONE,AUDIT,yes,1,35.38990,45.84217
NONE,HISTORY,yes,10,14.91547,27.99082
31,UPDATE,yes,10,25.39563,35.65693
32,DELETE,yes,10,54.24738,72.18528
33,RESTRICT,yes,10,64.94927,83.52399
NONE,AUDIT,yes,1,4.88067,22.44353
NONE,HISTORY,yes,10,3.80826,19.64712
34,UPDATE,yes,10,12.75110,25.28167
35,DELETE,yes,10,31.35872,48.65289
36,RESTRICT,yes,10,34.05786,53.65634
NONE,AUDIT,yes,1,4.50420,24.78337
NONE,HISTORY,yes,10,5.14102,24.17016
37,UPDATE,yes,10,14.97459,31.47268
38,DELETE,yes,10,36.19647,57.09863
39,RESTRICT,yes,10,49.27683,66.49303
NONE,AUDIT,yes,1,22.75562,37.62007
NONE,HISTORY,yes,10,10.33258,17.52234
40,UPDATE,yes,10,18.04900,20.21933
41,DELETE,yes,10,34.01947,47.81723
42,RESTRICT,yes,10,44.04950,56.21195
NONE,AUDIT,yes,1,31.19421,37.91904
NONE,HISTORY,yes,10,15.00678,25.05374
43,UPDATE,yes,10,25.41852,28.02467
44,DELETE,yes,10,51.03827,60.12416
45,RESTRICT,yes,10,57.46078,61.80668
NONE,AUDIT,yes,1,5.14388,16.33716
NONE,HISTORY,yes,10,7.07269,21.06833
46,UPDATE,yes,10,18.03136,23.33689
47,DELETE,yes,10,32.44162,51.55587
48,RESTRICT,yes,10,38.77211,59.36646
NONE,AUDIT,yes,1,30.55096,36.49473
NONE,HISTORY,yes,10,9.54747,21.48795
49,UPDATE,yes,10,24.09816,26.68452
50,DELETE,yes,10,53.62892,86.07006
51,RESTRICT,yes,10,69.80157,98.69814
