Metric Category,Metric Name,Value
Broker,CPU Min (%),16.06715
Broker,CPU Max (%),36.06755
Broker,CPU Avg (%),24.40582
Broker,CPU Variance,29.45921
Broker,Memory Min (MB),95.38341
Broker,Memory Max (MB),96.46131
Broker,Memory Avg (MB),95.98027
Broker,Memory Variance,0.08360
Messaging,Latency Min (ms),-29.88791
Messaging,Latency Max (ms),111.51934
Messaging,Latency Avg (ms),4.82877
Messaging,Latency Variance,41.24468
Messaging,Throughput (msgs/sec),698.26939
Messaging,Avg Header Size (bytes),33.98863
Messaging,Data Messages,125545
Messaging,Non-Data Messages,185
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,125500
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,125503
Purpose Correctness,Total Received,125500
Purpose Correctness,Total Rejected,3
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0001
OP Correctness,Total Operational Requests,85
OP Correctness,Total Expected Responses,68
OP Correctness,Total Actual Responses,68
OP Correctness,Total Relevant Requests Recieved,85
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
OP Correlation,Total Tracked Operations,85
OP Correlation,Total Completed Operations,85
OP Correlation,Overall Completion Rate,1.0000
OP Correlation,AUDIT Operations Issued,17
OP Correlation,AUDIT Completion Rate,1.0000
OP Correlation,AUDIT Median Latency (ms),16.17265
OP Correlation,AUDIT p90 Latency (ms),50.60720
OP Correlation,AUDIT p99 Latency (ms),82.44947
OP Correlation,DELETE Operations Issued,17
OP Correlation,DELETE Completion Rate,1.0000
OP Correlation,DELETE Median Latency (ms),25.08497
OP Correlation,DELETE p90 Latency (ms),65.96556
OP Correlation,DELETE p99 Latency (ms),100.70049
OP Correlation,HISTORY Operations Issued,17
OP Correlation,HISTORY Completion Rate,1.0000
OP Correlation,HISTORY Median Latency (ms),7.61294
OP Correlation,HISTORY p90 Latency (ms),39.76107
OP Correlation,HISTORY p99 Latency (ms),54.36047
OP Correlation,RESTRICT Operations Issued,17
OP Correlation,RESTRICT Completion Rate,1.0000
OP Correlation,RESTRICT Median Latency (ms),31.30388
OP Correlation,RESTRICT p90 Latency (ms),71.55881
OP Correlation,RESTRICT p99 Latency (ms),140.98433
OP Correlation,UPDATE Operations Issued,17
OP Correlation,UPDATE Completion Rate,1.0000
OP Correlation,UPDATE Median Latency (ms),14.37902
OP Correlation,UPDATE p90 Latency (ms),44.49120
OP Correlation,UPDATE p99 Latency (ms),62.60756
O1 Informed,REGISTER-INFO Requests Issued,100
O1 Informed,Publishers Informed,39
O1 Informed,Publishers With Consumers,39
O1 Informed,Informed Completion Rate,1.0000
