op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,25.65026,25.65026
NONE,HISTORY,yes,1,10.56528,10.56528
1,UPDATE,yes,1,16.24656,16.24656
2,DELETE,yes,1,19.05608,19.05608
3,RESTRICT,yes,1,33.63538,33.63538
NONE,AUDIT,yes,1,4.59266,4.59266
NONE,HISTORY,yes,1,3.19815,3.19815
4,UPDATE,yes,1,3.44706,3.44706
5,DELETE,yes,1,4.85754,4.85754
6,RESTRICT,yes,1,6.62470,6.62470
NONE,AUDIT,yes,1,53.75004,53.75004
NONE,HISTORY,yes,1,22.48645,22.48645
7,UPDATE,yes,1,39.49571,39.49571
8,DELETE,yes,1,56.03051,56.03051
9,RESTRICT,yes,1,88.90390,88.90390
NONE,AUDIT,yes,1,5.54681,5.54681
NONE,HISTORY,yes,1,6.98209,6.98209
10,UPDATE,yes,1,9.27687,9.27687
11,DELETE,yes,1,16.53337,16.53337
12,RESTRICT,yes,1,18.26739,18.26739
NONE,AUDIT,yes,1,136.69968,136.69968
NONE,HISTORY,yes,1,89.95795,89.95795
13,UPDATE,yes,1,103.98602,103.98602
14,DELETE,yes,1,197.70956,197.70956
15,RESTRICT,yes,1,222.54395,222.54395
NONE,AUDIT,yes,1,2.10857,2.10857
NONE,HISTORY,yes,1,40.33208,40.33208
16,UPDATE,yes,1,40.73977,40.73977
17,DELETE,yes,1,41.15820,41.15820
18,RESTRICT,yes,1,41.83102,41.83102
NONE,AUDIT,yes,1,87.69822,87.69822
NONE,HISTORY,yes,1,64.46266,64.46266
19,UPDATE,yes,1,78.58348,78.58348
20,DELETE,yes,1,95.96539,95.96539
21,RESTRICT,yes,1,101.13072,101.13072
NONE,AUDIT,yes,1,101.49288,101.49288
NONE,HISTORY,yes,1,44.91401,44.91401
22,UPDATE,yes,1,73.36783,73.36783
23,DELETE,yes,1,127.66051,127.66051
24,RESTRICT,yes,1,187.42585,187.42585
NONE,AUDIT,yes,1,2.73490,2.73490
NONE,HISTORY,yes,1,4.84753,4.84753
25,UPDATE,yes,1,8.13246,8.13246
26,DELETE,yes,1,12.69674,12.69674
27,RESTRICT,yes,1,13.63659,13.63659
NONE,AUDIT,yes,1,4.92144,4.92144
NONE,HISTORY,yes,1,4.04668,4.04668
28,UPDATE,yes,1,4.69279,4.69279
29,DELETE,yes,1,5.91207,5.91207
30,RESTRICT,yes,1,6.94513,6.94513
NONE,AUDIT,yes,1,11.53016,11.53016
NONE,HISTORY,yes,1,4.57048,4.57048
31,UPDATE,yes,1,11.29556,11.29556
32,DELETE,yes,1,24.21474,24.21474
33,RESTRICT,yes,1,27.92025,27.92025
NONE,AUDIT,yes,1,6.92964,6.92964
NONE,HISTORY,yes,1,3.83091,3.83091
34,UPDATE,yes,1,5.63264,5.63264
35,DELETE,yes,1,9.06920,9.06920
36,RESTRICT,yes,1,13.51881,13.51881
NONE,AUDIT,yes,1,11.37495,11.37495
NONE,HISTORY,yes,1,4.02164,4.02164
37,UPDATE,yes,1,9.17959,9.17959
38,DELETE,yes,1,19.78469,19.78469
39,RESTRICT,yes,1,21.79766,21.79766
NONE,AUDIT,yes,1,4.50420,4.50420
NONE,HISTORY,yes,1,3.21031,3.21031
40,UPDATE,yes,1,3.68047,3.68047
41,DELETE,yes,1,9.94253,9.94253
42,RESTRICT,yes,1,13.13543,13.13543
NONE,AUDIT,yes,1,6.13856,6.13856
NONE,HISTORY,yes,1,3.27921,3.27921
43,UPDATE,yes,1,5.36895,5.36895
44,DELETE,yes,1,12.07852,12.07852
45,RESTRICT,yes,1,14.73808,14.73808
NONE,AUDIT,yes,1,28.69034,28.69034
NONE,HISTORY,yes,1,24.11938,24.11938
46,UPDATE,yes,1,27.96745,27.96745
47,DELETE,yes,1,54.94666,54.94666
48,RESTRICT,yes,1,63.41767,63.41767
NONE,AUDIT,yes,1,4.54736,4.54736
NONE,HISTORY,yes,1,2.47097,2.47097
49,UPDATE,yes,1,5.04971,5.04971
50,DELETE,yes,1,12.87842,12.87842
51,RESTRICT,yes,1,14.76169,14.76169
