op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,4.38738,4.38738
NONE,HISTORY,yes,1,2.45786,2.45786
1,UPDATE,yes,1,4.17352,4.17352
2,DELETE,yes,1,14.90951,14.90951
3,RESTRICT,yes,1,18.24427,18.24427
NONE,AUDIT,yes,1,30.96247,30.96247
NONE,HISTORY,yes,1,14.14895,14.14895
4,UPDATE,yes,1,21.39330,21.39330
5,DELETE,yes,1,41.73636,41.73636
6,RESTRICT,yes,1,47.20449,47.20449
NONE,AUDIT,yes,1,29.15335,29.15335
NONE,HISTORY,yes,1,20.60366,20.60366
7,UPDATE,yes,1,23.64254,23.64254
8,DELETE,yes,1,42.09042,42.09042
9,RESTRICT,yes,1,46.85616,46.85616
NONE,AUDIT,yes,1,2.36082,2.36082
NONE,HISTORY,yes,1,1.74665,1.74665
10,UPDATE,yes,1,12.42781,12.42781
11,DELETE,yes,1,18.39089,18.39089
12,RESTRICT,yes,1,20.75052,20.75052
NONE,AUDIT,yes,1,16.67571,16.67571
NONE,HISTORY,yes,1,6.76322,6.76322
13,UPDATE,yes,1,10.43034,10.43034
14,DELETE,yes,1,13.59320,13.59320
15,RESTRICT,yes,1,22.30048,22.30048
NONE,AUDIT,yes,1,4.19521,7.76196
NONE,HISTORY,yes,3,2.46239,3.21484
16,UPDATE,yes,3,5.98645,7.79128
17,DELETE,yes,3,13.11398,21.04831
18,RESTRICT,yes,3,20.05768,26.69573
NONE,AUDIT,yes,1,19.29140,20.51330
NONE,HISTORY,yes,3,11.03878,13.18884
19,UPDATE,yes,3,15.22779,15.91229
20,DELETE,yes,3,26.96800,31.05998
21,RESTRICT,yes,3,32.44424,34.26480
NONE,AUDIT,yes,1,45.48883,49.25895
NONE,HISTORY,yes,3,27.79770,34.22666
22,UPDATE,yes,3,35.40993,50.89664
23,DELETE,yes,3,57.18374,59.88050
24,RESTRICT,yes,3,61.59186,65.34219
NONE,AUDIT,yes,1,53.11775,60.97913
NONE,HISTORY,yes,3,70.13154,88.39488
25,UPDATE,yes,3,87.64672,95.98732
26,DELETE,yes,3,113.87515,115.21983
27,RESTRICT,yes,3,120.78404,129.17709
NONE,AUDIT,yes,1,148.70644,160.00533
NONE,HISTORY,yes,3,74.06116,80.98388
28,UPDATE,yes,3,107.62668,126.41096
29,DELETE,yes,3,166.41307,172.25027
30,RESTRICT,yes,3,187.13665,207.15332
NONE,AUDIT,yes,1,1.60646,2.59876
NONE,HISTORY,yes,3,23.58246,24.55211
31,UPDATE,yes,3,26.58772,27.38142
32,DELETE,yes,3,33.50544,35.24113
33,RESTRICT,yes,3,37.60171,38.85913
NONE,AUDIT,yes,1,106.20832,110.80194
NONE,HISTORY,yes,3,61.01036,64.13627
34,UPDATE,yes,3,78.04155,93.13035
35,DELETE,yes,3,120.09144,146.84176
36,RESTRICT,yes,3,184.77106,191.95962
NONE,AUDIT,yes,1,133.62288,149.41359
NONE,HISTORY,yes,3,60.53066,71.43736
37,UPDATE,yes,3,104.31027,112.59246
38,DELETE,yes,3,125.87571,134.03392
39,RESTRICT,yes,3,205.26934,208.06122
NONE,AUDIT,yes,1,6.01268,9.06038
NONE,HISTORY,yes,3,5.01347,7.03144
40,UPDATE,yes,3,8.11362,15.75398
41,DELETE,yes,3,23.70358,28.29909
42,RESTRICT,yes,3,29.51384,30.29013
NONE,AUDIT,yes,1,58.72941,59.75270
NONE,HISTORY,yes,3,45.19296,47.48225
43,UPDATE,yes,3,49.48997,54.49200
44,DELETE,yes,3,61.43045,67.10267
45,RESTRICT,yes,3,68.71653,71.35630
NONE,AUDIT,yes,1,66.36477,97.44883
NONE,HISTORY,yes,3,27.91214,33.60677
46,UPDATE,yes,3,34.36899,58.46357
47,DELETE,yes,3,126.12772,150.71774
48,RESTRICT,yes,3,139.24336,188.38406
NONE,AUDIT,yes,1,7.49207,11.75189
NONE,HISTORY,yes,3,3.23510,5.56922
49,UPDATE,yes,3,6.09159,13.58008
50,DELETE,yes,3,18.01991,23.61465
51,RESTRICT,yes,3,21.92950,25.93732
