Metric Category,Metric Name,Value
Broker,CPU Min (%),16.07565
Broker,CPU Max (%),40.76281
Broker,CPU Avg (%),25.56451
Broker,CPU Variance,36.67547
Broker,Memory Min (MB),96.25711
Broker,Memory Max (MB),97.42094
Broker,Memory Avg (MB),96.89244
Broker,Memory Variance,0.08784
Messaging,Latency Min (ms),-7.04050
Messaging,Latency Max (ms),266.83807
Messaging,Latency Avg (ms),6.02678
Messaging,Latency Variance,84.06103
Messaging,Throughput (msgs/sec),1109.23511
Messaging,Avg Header Size (bytes),33.10429
Messaging,Data Messages,199670
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,10
Purpose Correctness,Total Valid Messages,199662
Purpose Correctness,Total Invalid Messages,8
Purpose Correctness,Total Expected,199680
Purpose Correctness,Total Received,199670
Purpose Correctness,Total Rejected,10
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correlation,Total Tracked Operations,0
OP Correlation,Total Completed Operations,0
OP Correlation,Overall Completion Rate,0.0000
O1 Informed,REGISTER-INFO Requests Issued,0
O1 Informed,Publishers Informed,0
O1 Informed,Publishers With Consumers,39
O1 Informed,Informed Completion Rate,0.0000
