Metric Category,Metric Name,Value
Broker,CPU Min (%),16.11765
Broker,CPU Max (%),39.57845
Broker,CPU Avg (%),24.70247
Broker,CPU Variance,30.61696
Broker,Memory Min (MB),96.24304
Broker,Memory Max (MB),97.45421
Broker,Memory Avg (MB),96.97652
Broker,Memory Variance,0.08786
Messaging,Latency Min (ms),-13.41391
Messaging,Latency Max (ms),136.57308
Messaging,Latency Avg (ms),4.55267
Messaging,Latency Variance,34.25565
Messaging,Throughput (msgs/sec),727.00275
Messaging,Avg Header Size (bytes),33.98894
Messaging,Data Messages,130675
Messaging,Non-Data Messages,0
Purpose Correctness,Total Subscribers,100
Purpose Correctness,Total Valid Messages,130675
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,130675
Purpose Correctness,Total Received,130675
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correlation,Total Tracked Operations,0
OP Correlation,Total Completed Operations,0
OP Correlation,Overall Completion Rate,0.0000
O1 Informed,REGISTER-INFO Requests Issued,0
O1 Informed,Publishers Informed,0
O1 Informed,Publishers With Consumers,39
O1 Informed,Informed Completion Rate,0.0000
