op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,4.50468,4.50468
NONE,HISTORY,yes,1,3.13973,3.13973
1,UPDATE,yes,1,4.01807,4.01807
2,DELETE,yes,1,7.22742,7.22742
3,RESTRICT,yes,1,9.11856,9.11856
NONE,AUDIT,yes,1,102.17786,102.17786
NONE,HISTORY,yes,1,101.98808,101.98808
4,UPDATE,yes,1,129.19235,129.19235
5,DELETE,yes,1,157.16672,157.16672
6,RESTRICT,yes,1,168.96439,168.96439
NONE,AUDIT,yes,1,6.71673,6.71673
NONE,HISTORY,yes,1,2.97427,2.97427
7,UPDATE,yes,1,4.64559,4.64559
8,DELETE,yes,1,11.98578,11.98578
9,RESTRICT,yes,1,17.65084,17.65084
NONE,AUDIT,yes,1,2.44355,2.44355
NONE,HISTORY,yes,1,1.81055,1.81055
10,UPDATE,yes,1,3.01528,3.01528
11,DELETE,yes,1,6.72436,6.72436
12,RESTRICT,yes,1,9.76992,9.76992
NONE,AUDIT,yes,1,87.46719,87.46719
NONE,HISTORY,yes,1,105.06487,105.06487
13,UPDATE,yes,1,113.52015,113.52015
14,DELETE,yes,1,117.44881,117.44881
15,RESTRICT,yes,1,120.82100,120.82100
NONE,AUDIT,yes,1,7.83753,7.83753
NONE,HISTORY,yes,1,10.73837,10.73837
16,UPDATE,yes,1,15.44142,15.44142
17,DELETE,yes,1,23.42224,23.42224
18,RESTRICT,yes,1,30.41339,30.41339
NONE,AUDIT,yes,1,14.00542,14.00542
NONE,HISTORY,yes,1,14.26053,14.26053
19,UPDATE,yes,1,21.05927,21.05927
20,DELETE,yes,1,31.61120,31.61120
21,RESTRICT,yes,1,43.38503,43.38503
NONE,AUDIT,yes,1,9.23920,9.23920
NONE,HISTORY,yes,1,5.98383,5.98383
22,UPDATE,yes,1,10.36072,10.36072
23,DELETE,yes,1,12.03585,12.03585
24,RESTRICT,yes,1,14.98294,14.98294
NONE,AUDIT,yes,1,1.84131,1.84131
NONE,HISTORY,yes,1,3.64208,3.64208
25,UPDATE,yes,1,5.46074,5.46074
26,DELETE,yes,1,8.23188,8.23188
27,RESTRICT,yes,1,9.52625,9.52625
NONE,AUDIT,yes,1,6.30260,6.30260
NONE,HISTORY,yes,1,24.23954,24.23954
28,UPDATE,yes,1,25.92826,25.92826
29,DELETE,yes,1,38.98740,38.98740
30,RESTRICT,yes,1,42.69505,42.69505
NONE,AUDIT,yes,1,3.42631,3.42631
NONE,HISTORY,yes,1,9.49597,9.49597
31,UPDATE,yes,1,15.74516,15.74516
32,DELETE,yes,1,19.10472,19.10472
33,RESTRICT,yes,1,24.16468,24.16468
NONE,AUDIT,yes,1,19.63711,19.63711
NONE,HISTORY,yes,1,20.99752,20.99752
34,UPDATE,yes,1,28.71275,28.71275
35,DELETE,yes,1,34.94024,34.94024
36,RESTRICT,yes,1,36.20315,36.20315
NONE,AUDIT,yes,1,8.01635,8.01635
NONE,HISTORY,yes,1,5.60880,5.60880
37,UPDATE,yes,1,8.55112,8.55112
38,DELETE,yes,1,11.30652,11.30652
39,RESTRICT,yes,1,11.71613,11.71613
NONE,AUDIT,yes,1,13.12137,13.12137
NONE,HISTORY,yes,1,8.49152,8.49152
40,UPDATE,yes,1,13.15475,13.15475
41,DELETE,yes,1,20.86616,20.86616
42,RESTRICT,yes,1,26.99351,26.99351
NONE,AUDIT,yes,1,4.61388,4.61388
NONE,HISTORY,yes,1,2.69985,2.69985
43,UPDATE,yes,1,4.01020,4.01020
44,DELETE,yes,1,26.37959,26.37959
45,RESTRICT,yes,1,30.18117,30.18117
NONE,AUDIT,yes,1,25.00176,25.00176
NONE,HISTORY,yes,1,21.47484,21.47484
46,UPDATE,yes,1,35.07328,35.07328
47,DELETE,yes,1,43.71262,43.71262
48,RESTRICT,yes,1,59.73434,59.73434
NONE,AUDIT,yes,1,5.20301,5.20301
NONE,HISTORY,yes,1,3.86930,3.86930
49,UPDATE,yes,1,7.71546,7.71546
50,DELETE,yes,1,9.39941,9.39941
51,RESTRICT,yes,1,10.69617,10.69617
