op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,12.34841,12.34841
NONE,HISTORY,yes,1,6.73509,6.73509
1,UPDATE,yes,1,10.53381,10.53381
2,DELETE,yes,1,17.24362,17.24362
3,RESTRICT,yes,1,25.45500,25.45500
NONE,AUDIT,yes,1,1.32060,1.58954
NONE,HISTORY,yes,2,4.24027,4.34375
4,UPDATE,yes,2,10.50377,15.01703
5,DELETE,yes,2,17.16256,19.91940
6,RESTRICT,yes,2,21.50273,24.84584
NONE,AUDIT,yes,1,16.45756,17.43221
NONE,HISTORY,yes,3,6.98304,8.31342
7,UPDATE,yes,3,8.88968,13.92412
8,DELETE,yes,3,18.99791,28.85604
9,RESTRICT,yes,3,27.32730,31.94284
NONE,AUDIT,yes,1,92.34834,114.61186
NONE,HISTORY,yes,4,48.38872,52.78111
10,UPDATE,yes,4,61.75566,85.38222
11,DELETE,yes,4,108.78181,153.81694
12,RESTRICT,yes,4,157.76491,159.47866
NONE,AUDIT,yes,1,14.18376,26.56126
NONE,HISTORY,yes,5,9.27186,29.58131
13,UPDATE,yes,5,25.16389,36.24511
14,DELETE,yes,5,41.48817,54.28553
15,RESTRICT,yes,5,49.00384,64.11600
NONE,AUDIT,yes,1,36.14855,51.64123
NONE,HISTORY,yes,6,37.03666,53.87235
16,UPDATE,yes,6,48.15197,66.71739
17,DELETE,yes,6,52.08516,76.42889
18,RESTRICT,yes,6,56.70238,78.36246
NONE,AUDIT,yes,1,7.46083,23.49591
NONE,HISTORY,yes,8,2.78497,17.95340
19,UPDATE,yes,8,3.28875,25.47383
20,DELETE,yes,8,29.96993,46.42582
21,RESTRICT,yes,8,34.17921,50.30251
NONE,AUDIT,yes,1,92.77010,120.15557
NONE,HISTORY,yes,9,31.17442,41.17560
22,UPDATE,yes,9,45.46475,73.22431
23,DELETE,yes,9,93.97435,138.19504
24,RESTRICT,yes,9,122.97845,158.83303
NONE,AUDIT,yes,1,13.93676,32.27305
NONE,HISTORY,yes,10,9.40251,21.72446
25,UPDATE,yes,10,21.50416,32.48286
26,DELETE,yes,10,38.49936,59.39436
27,RESTRICT,yes,10,57.54304,65.32764
NONE,AUDIT,yes,1,36.01408,51.09048
NONE,HISTORY,yes,11,15.57016,24.04881
28,UPDATE,yes,11,23.68212,34.74402
29,DELETE,yes,11,36.88407,61.24210
30,RESTRICT,yes,11,63.17186,80.87635
NONE,AUDIT,yes,1,2.40660,25.97165
NONE,HISTORY,yes,12,3.33619,21.55685
31,UPDATE,yes,12,5.14889,39.87670
32,DELETE,yes,12,32.28521,63.79175
33,RESTRICT,yes,12,41.85128,73.40074
NONE,AUDIT,yes,1,30.87401,71.65837
NONE,HISTORY,yes,13,37.16397,67.20352
34,UPDATE,yes,13,65.89246,84.38516
35,DELETE,yes,13,84.41520,106.09865
36,RESTRICT,yes,13,101.13978,118.44969
NONE,AUDIT,yes,1,42.60612,50.12918
NONE,HISTORY,yes,14,14.36257,34.00087
37,UPDATE,yes,14,30.64775,38.61785
38,DELETE,yes,14,69.02242,97.20850
39,RESTRICT,yes,14,81.18606,110.41236
NONE,AUDIT,yes,1,27.78649,64.80050
NONE,HISTORY,yes,15,40.25388,71.00511
40,UPDATE,yes,15,68.63832,95.65425
41,DELETE,yes,15,94.88511,156.18324
42,RESTRICT,yes,15,142.08817,185.37760
NONE,AUDIT,yes,1,125.48232,138.98563
NONE,HISTORY,yes,16,95.77656,114.45999
43,UPDATE,yes,16,112.13350,129.26316
44,DELETE,yes,16,140.78856,166.11457
45,RESTRICT,yes,16,155.87306,185.06670
NONE,AUDIT,yes,1,17.87329,40.24959
NONE,HISTORY,yes,17,7.23004,33.03218
46,UPDATE,yes,17,9.16576,59.16429
47,DELETE,yes,17,60.79149,94.35916
48,RESTRICT,yes,17,88.40489,112.36763
NONE,AUDIT,yes,1,1.46556,43.82372
NONE,HISTORY,yes,18,3.16954,28.56922
49,UPDATE,yes,18,8.99696,60.04095
50,DELETE,yes,18,44.08860,104.05111
51,RESTRICT,yes,18,57.65295,113.20472
