op_id,op_type,completed,num_responders,first_response_latency_ms,last_response_latency_ms
NONE,AUDIT,yes,1,14.29224,14.29224
NONE,HISTORY,yes,1,10.42843,10.42843
1,UPDATE,yes,1,11.86776,11.86776
2,DELETE,yes,1,20.58673,20.58673
3,RESTRICT,yes,1,24.37019,24.37019
NONE,AUDIT,yes,1,2.97523,2.97523
NONE,HISTORY,yes,1,4.99487,4.99487
4,UPDATE,yes,1,8.99720,8.99720
5,DELETE,yes,1,14.59193,14.59193
6,RESTRICT,yes,1,22.33624,22.33624
NONE,AUDIT,yes,1,47.36233,47.36233
NONE,HISTORY,yes,1,28.12529,28.12529
7,UPDATE,yes,1,35.49290,35.49290
8,DELETE,yes,1,80.18160,80.18160
9,RESTRICT,yes,1,88.41228,88.41228
NONE,AUDIT,yes,1,106.35877,106.35877
NONE,HISTORY,yes,1,81.52461,81.52461
10,UPDATE,yes,1,92.87024,92.87024
11,DELETE,yes,1,156.76665,156.76665
12,RESTRICT,yes,1,180.10092,180.10092
NONE,AUDIT,yes,1,3.12567,3.12567
NONE,HISTORY,yes,1,2.89917,2.89917
13,UPDATE,yes,1,6.03557,6.03557
14,DELETE,yes,1,19.94729,19.94729
15,RESTRICT,yes,1,20.86067,20.86067
NONE,AUDIT,yes,1,7.50518,7.50518
NONE,HISTORY,yes,1,4.98676,4.98676
16,UPDATE,yes,1,5.65124,5.65124
17,DELETE,yes,1,12.86411,12.86411
18,RESTRICT,yes,1,14.40167,14.40167
NONE,AUDIT,yes,1,8.78453,8.78453
NONE,HISTORY,yes,1,11.09385,11.09385
19,UPDATE,yes,1,17.75455,17.75455
20,DELETE,yes,1,25.95973,25.95973
21,RESTRICT,yes,1,29.02317,29.02317
NONE,AUDIT,yes,1,65.04703,65.04703
NONE,HISTORY,yes,1,54.79312,54.79312
22,UPDATE,yes,1,48.93351,48.93351
23,DELETE,yes,1,64.03923,64.03923
24,RESTRICT,yes,1,67.05213,67.05213
NONE,AUDIT,yes,1,82.58343,82.58343
NONE,HISTORY,yes,1,50.95243,50.95243
25,UPDATE,yes,1,63.77625,63.77625
26,DELETE,yes,1,121.47212,121.47212
27,RESTRICT,yes,1,130.16367,130.16367
NONE,AUDIT,yes,1,2.83599,2.83599
NONE,HISTORY,yes,1,2.62308,2.62308
28,UPDATE,yes,1,5.12385,5.12385
29,DELETE,yes,1,10.35380,10.35380
30,RESTRICT,yes,1,10.74934,10.74934
NONE,AUDIT,yes,1,2.26593,2.26593
NONE,HISTORY,yes,1,1.79648,1.79648
31,UPDATE,yes,1,2.95973,2.95973
32,DELETE,yes,1,4.61936,4.61936
33,RESTRICT,yes,1,5.48244,5.48244
NONE,AUDIT,yes,1,12.24446,12.24446
NONE,HISTORY,yes,1,14.02521,14.02521
34,UPDATE,yes,1,24.37162,24.37162
35,DELETE,yes,1,79.43773,79.43773
36,RESTRICT,yes,1,87.56590,87.56590
NONE,AUDIT,yes,1,87.25667,87.25667
NONE,HISTORY,yes,1,80.12486,80.12486
37,UPDATE,yes,1,83.01044,83.01044
38,DELETE,yes,1,91.87531,91.87531
39,RESTRICT,yes,1,93.85681,93.85681
NONE,AUDIT,yes,1,98.54078,98.54078
NONE,HISTORY,yes,1,59.93700,59.93700
40,UPDATE,yes,1,90.34395,90.34395
41,DELETE,yes,1,104.54345,104.54345
42,RESTRICT,yes,1,110.02970,110.02970
NONE,AUDIT,yes,1,55.64475,55.64475
NONE,HISTORY,yes,1,36.36575,36.36575
43,UPDATE,yes,1,46.66471,46.66471
44,DELETE,yes,1,74.97597,74.97597
45,RESTRICT,yes,1,88.65738,88.65738
NONE,AUDIT,yes,1,3.48854,3.48854
NONE,HISTORY,yes,1,2.63906,2.63906
46,UPDATE,yes,1,4.36735,4.36735
47,DELETE,yes,1,12.78377,12.78377
48,RESTRICT,yes,1,17.36498,17.36498
NONE,AUDIT,yes,1,37.74977,37.74977
NONE,HISTORY,yes,1,20.90716,20.90716
49,UPDATE,yes,1,25.26522,25.26522
50,DELETE,yes,1,47.85919,47.85919
51,RESTRICT,yes,1,57.06882,57.06882
